index,c_score,b_score,feasible_flag,selected_flag
24726,0.0,1672.439,1,0
24761,0.0,576.2716,0,0
24793,0.0,256.58585,0,0
24805,0.0,1487.5209,1,0
24874,0.0,502.47546,0,0
24939,0.0,274.40588,0,0
24979,0.0,215.35036,0,0
25052,0.0,507.74384,0,0
25104,0.0,1095.8958,1,0
25297,0.0,1074.5591,1,0
25313,0.0,720.9005,1,0
25533,0.0,1233.732,1,0
25615,0.0,279.7337,0,0
25868,0.0,1440.0624,1,0
25895,0.0,339.11893,0,0
25924,0.0,1357.7346,1,0
26124,0.0,3334.2527,1,0
26143,0.0,888.32324,1,0
26179,0.0,196.20844,0,0
26379,0.0,246.38275,0,0
26411,0.0,474.87393,0,0
26464,0.0,73.37955,0,0
26465,0.0,1892.1589,1,0
26722,0.0,495.00714,0,0
26872,0.0,130.45143,0,0
26938,0.0,1512.6495,1,0
26991,0.0,63.343353,0,0
27079,0.0,257.77844,0,0
27160,0.0,1225.4639,1,0
27307,0.0,877.1271,1,0
27447,0.0,1259.8958,1,0
27490,0.0,418.5945,0,0
27528,0.0,2008.5059,1,0
27759,0.0,614.68335,1,0
27809,0.0,1596.6746,1,0
27824,0.0,2208.3662,1,0
27914,0.0,175.17981,0,0
28220,0.0,948.48956,1,0
28420,0.0,383.98303,0,0
28499,0.0,558.01074,0,0
28799,0.0,3.0180953,0,0
29060,0.0,182.733,0,0
29073,0.0,1157.2024,1,0
29217,0.0,801.281,1,0
29258,0.0,545.6045,0,0
29294,0.0,823.7919,1,0
29330,0.0,735.65234,1,0
29440,0.0,1543.3528,1,0
29475,0.0,1777.5579,1,0
29480,0.0,116.03225,0,0
29497,0.0,813.4829,1,0
29586,0.0,1436.9082,1,0
29620,0.0,1922.6857,1,0
29638,0.0,423.5467,0,0
29657,0.0,200.13254,0,0
29681,0.0,354.96005,0,0
29702,0.0,197.32797,0,0
29717,0.0,907.235,1,0
29815,0.0,481.5406,0,0
29837,0.0,466.77512,0,0
30028,0.0,1276.2191,1,0
30082,0.0,1126.8547,1,0
30128,0.0,675.78015,1,0
30379,0.0,411.01562,0,0
30420,0.0,1997.6572,1,0
30426,0.0,798.2886,1,0
30517,0.0,165.62416,0,0
30534,0.0,3714.126,1,0
30566,0.0,276.70963,0,0
30602,0.0,731.2134,1,0
30737,0.0,902.84155,1,0
30779,0.0,844.5925,1,0
30922,0.0,1279.2932,1,0
31092,0.0,320.83118,0,0
31355,0.0,321.5315,0,0
31987,0.0,1673.2191,1,0
32002,0.0,301.8111,0,0
32079,0.0,2149.0083,1,0
32318,0.0,526.14954,0,0
32319,0.0,1230.6102,1,0
32371,0.0,819.2308,1,0
32636,0.0,314.68942,0,0
32719,0.0,5.8861675,0,0
32782,0.0,160.67535,0,0
32799,0.0,56.470654,0,0
32814,0.0,114.96699,0,0
32950,0.0,280.7729,0,0
33089,0.0,184.58514,0,0
33220,0.0,527.45355,0,0
33396,0.0,968.4526,1,0
33435,0.0,207.68143,0,0
33481,0.0,270.68683,0,0
33542,0.0,620.37427,1,0
33548,0.0,1661.427,1,0
33761,0.0,625.1139,1,0
33854,0.0,795.3243,1,0
33977,0.0,1323.2085,1,0
33990,0.0,382.2444,0,0
34120,0.0,338.63934,0,0
34184,0.0,705.0322,1,0
34227,0.0,1944.6082,1,0
34279,0.0,718.848,1,0
34312,0.0,376.5003,0,0
34572,0.0,862.9502,1,0
34652,0.0,2261.1606,1,0
34765,0.0,25.178349,0,0
34922,0.0,820.76917,1,0
34998,0.0,545.59705,0,0
35117,0.0,91.893135,0,0
35371,0.0,119.21065,0,0
35374,0.0,747.9155,1,0
35458,0.0,254.74265,0,0
35496,0.0,828.07166,1,0
35565,0.0,171.33652,0,0
35638,0.0,937.8618,1,0
35732,0.0,243.87573,0,0
35737,0.0,843.1122,1,0
35844,0.0,1028.7539,1,0
35881,0.0,1372.1669,1,0
35889,0.0,590.9468,0,0
35903,0.0,462.58804,0,0
36180,0.0,442.08002,0,0
36418,0.0,674.18036,1,0
36501,0.0,413.0184,0,0
36598,0.0,23.492561,0,0
36748,0.0,1733.8538,1,0
36873,0.0,128.2823,0,0
36924,0.0,812.4617,1,0
36927,0.0,1663.1545,1,0
36966,0.0,2187.8152,1,0
36984,0.0,276.90628,0,0
37387,0.0,779.7927,1,0
37425,0.0,853.2473,1,0
37575,0.0,1828.5349,1,0
37616,0.0,313.96198,0,0
37754,0.0,1184.8695,1,0
38015,0.0,297.08783,0,0
38099,0.0,2255.2476,1,0
38176,0.0,94.78546,0,0
38184,0.0,355.59558,0,0
38218,0.0,188.10423,0,0
38283,0.0,262.1987,0,0
38373,0.0,630.98145,1,0
38383,0.0,497.09125,0,0
38726,0.0,1136.3708,1,0
38781,0.0,695.55273,1,0
38893,0.0,612.46936,1,0
38895,0.0,126.12602,0,0
38993,0.0,485.203,0,0
39281,0.0,195.30447,0,0
39430,0.0,399.65158,0,0
39586,0.0,1777.674,1,0
39644,0.0,732.29346,1,0
39736,0.0,1192.9635,1,0
39780,0.0,555.3832,0,0
40001,0.0,963.74396,1,0
40090,0.0,493.27362,0,0
40193,0.0,348.43494,0,0
40435,0.0,453.2594,0,0
40483,0.0,363.7052,0,0
40596,0.0,458.6147,0,0
40616,0.0,632.51074,1,0
40743,0.0,332.40002,0,0
40767,0.0,155.91595,0,0
40890,0.0,2807.7168,1,0
41032,0.0,944.7163,1,0
41234,0.0,4832.119,1,0
41251,0.0,1371.6709,1,0
41262,0.0,38.695435,0,0
41490,0.0,781.8096,1,0
41856,0.0,219.62326,0,0
41939,0.0,332.47675,0,0
42062,0.0,390.2827,0,0
42145,0.0,516.1351,0,0
42269,0.0,417.61755,0,0
42872,0.0,615.967,1,0
42938,0.0,188.15738,0,0
43095,0.0,472.80215,0,0
43142,0.0,2614.296,1,0
43257,0.0,573.0735,0,0
43281,0.0,3141.412,1,0
43402,0.0,564.22595,0,0
43446,0.0,1064.692,1,0
43519,0.0,516.62823,0,0
43574,0.0,203.86197,0,0
43591,0.0,2037.0017,1,0
43860,0.0,544.4319,0,0
43963,0.0,62.75561,0,0
44041,0.0,120.05256,0,0
44151,0.0,7.074134,0,0
44170,0.0,2540.2761,1,0
44201,0.0,437.406,0,0
44301,0.0,1297.5798,1,0
44359,0.0,382.15817,0,0
44412,0.0,1626.3186,1,0
44443,0.0,1563.8018,1,0
44469,0.0,13.346053,0,0
44497,0.0,535.30176,0,0
44509,0.0,1839.9127,1,0
44774,0.0,2007.653,1,0
44808,0.0,895.3407,1,0
44917,0.0,1254.5325,1,0
44942,0.0,500.94128,0,0
45231,0.0,791.3771,1,0
45471,0.0,389.3876,0,0
45718,0.0,2652.3916,1,0
45745,0.0,1068.9656,1,0
45812,0.0,289.86322,0,0
45879,0.0,2063.2563,1,0
45893,0.0,1300.9823,1,0
45941,0.0,194.83957,0,0
46026,0.0,1175.2214,1,0
46120,0.0,961.8219,1,0
46123,0.0,691.8738,1,0
46143,0.0,251.10022,0,0
46236,0.0,445.4839,0,0
46344,0.0,61.06914,0,0
46465,0.0,599.87866,0,0
46490,0.0,102.422676,0,0
46525,0.0,315.08337,0,0
46580,0.0,778.4988,1,0
46894,0.0,995.67584,1,0
46896,0.0,242.33249,0,0
46968,0.0,308.38226,0,0
46988,0.0,202.4599,0,0
47151,0.0,98.2194,0,0
47535,0.0,294.53668,0,0
47565,0.0,550.24524,0,0
47860,0.0,112.37117,0,0
47881,0.0,450.98254,0,0
47945,0.0,437.92322,0,0
47974,0.0,45.433388,0,0
48649,0.0,217.07703,0,0
48678,0.0,804.6018,1,0
48749,0.0,292.3823,0,0
48896,0.0,613.90985,1,0
48966,0.0,1291.743,1,0
48974,0.0,342.6408,0,0
49103,0.0,139.48676,0,0
49169,0.0,1453.7563,1,0
49194,0.0,1185.2998,1,0
49292,0.0,834.12866,1,0
49302,0.0,147.89178,0,0
49412,0.0,485.7459,0,0
49551,0.0,145.1178,0,0
49597,0.0,687.98535,1,0
